都道府県,市区町村,店舗名・施設名,分類,評価,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名
岐阜県,岐阜市,みんなの森 ぎふメディアコスモス,複合文化・図書館,S,木造格子屋根と大きな傘状閲覧空間が特徴。,https://g-mediacosmos.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AE%E6%A3%AE%20%E3%81%8E%E3%81%B5%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E3%82%B3%E3%82%B9%E3%83%A2%E3%82%B9%20%E5%B2%90%E9%98%9C%E7%9C%8C%20%E5%B2%90%E9%98%9C%E5%B8%82,複合文化・図書館,,
愛知県,安城市,安城市図書情報館 アンフォーレ,複合施設・図書館,A,ホールや公共サービスと図書館が接続する複合施設。,https://www.library.city.anjo.aichi.jp/,https://www.google.com/maps/search/?api=1&query=%E5%AE%89%E5%9F%8E%E5%B8%82%E5%9B%B3%E6%9B%B8%E6%83%85%E5%A0%B1%E9%A4%A8%20%E3%82%A2%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AC%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%AE%89%E5%9F%8E%E5%B8%82,複合施設・図書館,,
滋賀県,守山市,守山市立図書館,図書館建築,A,大きな木架構と中庭を持つ市立図書館。,http://moriyama-city-lib.jp/,https://www.google.com/maps/search/?api=1&query=%E5%AE%88%E5%B1%B1%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%BB%8B%E8%B3%80%E7%9C%8C%20%E5%AE%88%E5%B1%B1%E5%B8%82,図書館建築,,
大阪府,大阪市北区,こども本の森 中之島,子ども図書館,A,吹抜けの壁面書架を持つ子どものための図書文化施設。,https://kodomohonnomori.osaka/,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E3%81%A9%E3%82%82%E6%9C%AC%E3%81%AE%E6%A3%AE%20%E4%B8%AD%E4%B9%8B%E5%B3%B6%20%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA,子ども図書館,,
神奈川県,大和市,大和市文化創造拠点 シリウス,複合文化・図書館,A,図書館、ホール、生涯学習施設が縦に重なる複合施設。,https://www.yamato-bunka.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%92%8C%E5%B8%82%E6%96%87%E5%8C%96%E5%89%B5%E9%80%A0%E6%8B%A0%E7%82%B9%20%E3%82%B7%E3%83%AA%E3%82%A6%E3%82%B9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%A4%A7%E5%92%8C%E5%B8%82,複合文化・図書館,,
岡山県,瀬戸内市,瀬戸内市民図書館 もみわ広場,地域図書館,A,地域資料と交流空間を一体化した市民図書館。,https://lib.city.setouchi.lg.jp/,https://www.google.com/maps/search/?api=1&query=%E7%80%AC%E6%88%B8%E5%86%85%E5%B8%82%E6%B0%91%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E3%82%82%E3%81%BF%E3%82%8F%E5%BA%83%E5%A0%B4%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%20%E7%80%AC%E6%88%B8%E5%86%85%E5%B8%82,地域図書館,,
高知県,高知市,オーテピア高知図書館,複合図書館,A,県市合同図書館と科学館等が同居する複合施設。,https://otepia.kochi.jp/library/,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%BC%E3%83%86%E3%83%94%E3%82%A2%E9%AB%98%E7%9F%A5%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E9%AB%98%E7%9F%A5%E7%9C%8C%20%E9%AB%98%E7%9F%A5%E5%B8%82,複合図書館,,
佐賀県,伊万里市,伊万里市民図書館,地域図書館,A,市民参加型運営と滞在空間で知られる公共図書館。,https://www.library.city.imari.saga.jp/,https://www.google.com/maps/search/?api=1&query=%E4%BC%8A%E4%B8%87%E9%87%8C%E5%B8%82%E6%B0%91%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E4%BD%90%E8%B3%80%E7%9C%8C%20%E4%BC%8A%E4%B8%87%E9%87%8C%E5%B8%82,地域図書館,,
沖縄県,恩納村,恩納村文化情報センター,観光・地域図書館,A,図書館と観光情報機能が海辺で同居する施設。,http://www.onna-culture.jp/,https://www.google.com/maps/search/?api=1&query=%E6%81%A9%E7%B4%8D%E6%9D%91%E6%96%87%E5%8C%96%E6%83%85%E5%A0%B1%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%B2%96%E7%B8%84%E7%9C%8C%20%E6%81%A9%E7%B4%8D%E6%9D%91,観光・地域図書館,,
東京都,港区,東京都立中央図書館,図書館,S,巨大閲覧室・長い照明・公共施設的内装・食堂。1970年代大型公共建築の雰囲気,https://www.library.metro.tokyo.lg.jp/guide/central_library/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%AF%E5%8C%BA,公共空間,,
東京都,千代田区,国立国会図書館 東京本館,図書館,S,巨大な資料保存機構・閲覧施設。国家機関系のリミナル感,https://www.ndl.go.jp/,https://www.google.com/maps/search/?api=1&query=%E5%9B%BD%E7%AB%8B%E5%9B%BD%E4%BC%9A%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E6%9C%AC%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA,公共空間,,
東京都,国分寺市,東京都立多摩図書館,図書館,B,大規模閲覧空間・研究施設的雰囲気。比較的新しいが無機質系,https://www.library.metro.tokyo.lg.jp/guide/tama_library/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%AB%8B%E5%A4%9A%E6%91%A9%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82,公共空間,,
東京都,東京都立図書館,東京都立図書館「東京の地域資料に関するリンク集」,郷土資料,A,各区市町村の古写真、郷土資料、デジタルアーカイブを掘る入口。,https://www.library.metro.tokyo.lg.jp/guide/central_library/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
京都府,京都市,国立国会図書館 関西館,国立図書館・書庫,S,一般利用（条件あり）。大規模地下書庫を備える公共建築,http://www.ndl.go.jp/jp/service/kansai/index.html,https://www.google.com/maps/search/?api=1&query=%E5%9B%BD%E7%AB%8B%E5%9B%BD%E4%BC%9A%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E9%96%A2%E8%A5%BF%E9%A4%A8%20%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E4%BA%AC%E9%83%BD%E5%B8%82,見学可能な公的建築,,
東京都,武蔵野市,武蔵野プレイス「屋上・テラス系空間」,公共図書館・文化施設,B,開館時。公共建築として面白い,http://www.musashino.or.jp/place/,https://www.google.com/maps/search/?api=1&query=%E6%AD%A6%E8%94%B5%E9%87%8E%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%AD%A6%E8%94%B5%E9%87%8E%E5%B8%82,屋上・屋上庭園・公開テラス,,武蔵野プレイス
東京都,荒川区,ゆいの森あらかわ「屋上・テラス系読書空間」,公共図書館,B,無料。図書館建築＋外部空間,https://www.yuinomori.city.arakawa.tokyo.jp/index.html,https://www.google.com/maps/search/?api=1&query=%E3%82%86%E3%81%84%E3%81%AE%E6%A3%AE%E3%81%82%E3%82%89%E3%81%8B%E3%82%8F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%8D%92%E5%B7%9D%E5%8C%BA,屋上・屋上庭園・公開テラス,,ゆいの森あらかわ
